Star-rating,Name,Review Title,Review Content,Date,verified,variant
4.0 out of 5 stars,Sankar swaminathan, Good phone-could have been better !,Good,Reviewed in India 🇮🇳 on 19 December 2022,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Abhinav, A mildly perfect phone,Nice,Reviewed in India 🇮🇳 on 12 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,VENKATARAJU.konduru, Super product,Expensive,Reviewed in India 🇮🇳 on 3 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
3.0 out of 5 stars,ramlal damor, Camera,Wide angle camera ki kami h,Reviewed in India 🇮🇳 on 9 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Lokesh p., Camera+Betrey,Nice battery+camera is amazing 🤩,Reviewed in India 🇮🇳 on 9 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Amazon Customer, Good one,Phone is good but camera is nit extraordinary but nice,Reviewed in India 🇮🇳 on 8 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Bunny, Good product,OnePlus are undoubtedly the best brand in town and this one is worth the purchase.,Reviewed in India 🇮🇳 on 6 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Shafik Kutty, Battery,"Battery is not upto the mark but due to
fast charging it hardly matters...",Reviewed in India 🇮🇳 on 3 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Parth Desai, Super 👌,Very nice product 👌,Reviewed in India 🇮🇳 on 10 June 2023,Verified Purchase,
3.0 out of 5 stars,Rahul, No problem as of now,"Quick charged, good quality",Reviewed in India 🇮🇳 on 8 June 2023,Verified Purchase,"Size: 8GB RAM, 128GB StorageColour: Bahamas Blue"
4.0 out of 5 stars,Sonu, Thike hai paisa ke hisaab se,Good,Reviewed in India 🇮🇳 on 6 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
